key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
left,1.729999781,1,0,160,124,1,159,-50,-50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.654999971,1,0,160,152,1,159,-125,-125,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.595999956,1,0,160,55,1,159,-8,-8,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.350999832,1,0,160,75,1,159,20,20,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.399999857,1,0,160,85,1,159,-20,-20,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.759999752,1,0,160,3,1,159,5,5,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.60800004,1,0,160,35,1,159,8,8,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.482999802,1,0,160,72,1,159,20,20,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.500999928,1,0,160,68,1,159,20,20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.384000063,1,0,160,38,1,159,8,8,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.399999857,1,0,160,18,1,159,-5,-5,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.395999908,1,0,160,105,1,159,50,50,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.326999903,1,0,160,136,1,159,125,125,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.368000031,1,0,160,59,1,159,-8,-8,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.42599988,1,0,160,129,1,159,125,125,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.321999788,1,0,160,66,1,159,20,20,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.385999918,1,0,160,52,1,159,-8,-8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.274999857,1,0,160,6,1,159,5,5,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.355999947,1,0,160,90,1,159,-20,-20,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.302000046,1,0,160,78,1,159,20,20,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.312999964,1,0,160,56,1,159,-8,-8,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.272000074,1,0,160,61,1,159,-8,-8,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.33100009,1,0,160,21,1,159,-5,-5,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.267999887,1,0,160,0,1,159,5,5,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.368000031,1,0,160,1,1,159,5,5,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.30099988,1,0,160,80,1,159,-20,-20,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.35199976,1,0,160,96,1,159,50,50,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.288999796,1,0,160,128,1,159,125,125,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.420000076,1,0,160,49,1,159,-8,-8,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.384000063,1,0,160,31,1,159,-5,-5,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,1.479999781,1,0,160,107,1,159,50,50,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.55099988,1,0,160,48,1,159,-8,-8,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.496999979,1,0,160,43,1,159,8,8,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.42599988,1,0,160,126,1,159,-50,-50,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.576999903,1,0,160,145,1,159,-125,-125,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.441999912,1,0,160,143,1,159,125,125,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.51699996,1,0,160,7,1,159,5,5,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.37899971,1,0,160,94,1,159,-20,-20,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.50999999,1,0,160,77,1,159,20,20,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.401000023,1,0,160,51,1,159,-8,-8,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.457999945,1,0,160,58,1,159,-8,-8,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.403000116,1,0,160,76,1,159,20,20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.427999973,1,0,160,26,1,159,-5,-5,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.370999813,1,0,160,50,1,159,-8,-8,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.355999708,1,0,160,131,1,159,125,125,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.288000107,1,0,160,112,1,159,-50,-50,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.336999893,1,0,160,37,1,159,8,8,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.279000044,1,0,160,133,1,159,125,125,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.284999847,1,0,160,141,1,159,125,125,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.315999746,1,0,160,19,1,159,-5,-5,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.250999928,1,0,160,29,1,159,-5,-5,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.256999969,1,0,160,36,1,159,8,8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.313999891,1,0,160,119,1,159,-50,-50,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.227999926,1,0,160,97,1,159,50,50,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.274999857,1,0,160,92,1,159,-20,-20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.215999842,1,0,160,44,1,159,8,8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.236000061,1,0,160,114,1,159,-50,-50,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.236999989,1,0,160,154,1,159,-125,-125,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.31099987,1,0,160,146,1,159,-125,-125,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.236999989,1,0,160,123,1,159,-50,-50,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.265000105,1,0,160,10,1,159,5,5,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.258999825,1,0,160,140,1,159,125,125,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.272000074,1,0,160,109,1,159,50,50,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.241999865,1,0,160,115,1,159,-50,-50,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.269000053,1,0,160,62,1,159,-8,-8,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.248999834,1,0,160,108,1,159,50,50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.232000113,1,0,160,39,1,159,8,8,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.227999926,1,0,160,24,1,159,-5,-5,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.22300005,1,0,160,117,1,159,-50,-50,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.235999823,1,0,160,41,1,159,8,8,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.25,1,0,160,13,1,159,5,5,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.275000095,1,0,160,153,1,159,-125,-125,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.480999708,1,0,160,23,1,159,-5,-5,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.289000034,1,0,160,103,1,159,50,50,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.427000046,1,0,160,104,1,159,50,50,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.333999872,1,0,160,120,1,159,-50,-50,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.263999939,1,0,160,88,1,159,-20,-20,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
left,0.233999968,1,0,160,5,1,159,5,5,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
right,0.237999916,1,0,160,151,1,159,-125,-125,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,possum,2020-06-23_08h34.59.891,Tymula Experiment,3.2.3,Win32,60
